Module,Depends on User Story ID,Requirement ID,,User Story,,Notes,,
portfolio search and filtration,9,59,student,see which employers viewed my profile and how many times my projects were saved,I know who's interested in hiring me and know which projects are getting the most interest.,,,
instructor/collaborator assignment,16,60,student,receive suggestions for collaborators based on my skills,I can find teammates for future projects,,,
feedback and review workflow,21,61,employer,leave private notes on student profiles,my team remembers key observations,,,
analytics and reporting,11,62,instructor,export grades from multiple projects,I can upload them directly to the university system,,,
portfolio search and filtration,9,63,employer ,compare up to three students side-by-side,I can decide who to interview first,,,
notifications,21,64,student,receive a weekly email summary of activity on my projects,I stay updated without constantly checking the platform,,,
analytics and reporting,11,65,student,see how many times my project has been saved by employers,I know which projects are getting the most interest,,,
project creation and submission,28,66,student,"add a ""work  in progress"" badge to unfinished projects",viewers know the project is still being developed,,,
instructor/collaborator assignment,16,67,student,request feedback from multiple instructors on the same project,I get diverse perspectives before final submission,,,
feedback and review workflow,21,68,instructor,view a timeline of all changed made to a project ,I can see how it evolved over the semester,,,
feedback and review workflow,21,69,instructor,"nominate exceptional projects for a ""featured"" section ",outstanding student work gets more visibility,,,
portfolio search and filtration,9,70,employer ,sort students by univeraity and major,I can target candidates from specific academic backgrounds,,,
portfolio search and filtration,9,71,employer ,see if a student is currently looking for job oppurtunities ,I only reach out to active job seekers,,,
admin and platform management,6,72,admin,export a list of inactive accounts ,I can clean up the system and send reminders to inactive users,,,
admin and platform management,6,73,admin,customize the terms and conditions shown during registration,the platform stays compliant with university policies,,,
analytics and reporting,28,74,student,"add a ""project impact"" section showing how many people used or benefited from my project ",employers see real-world value.,,,
admin and platform management,6,75,admin,send announcements to specific user roles,messages reach the right people,,,
admin and platform management,6,76,admin,bulk-upload courses from spreadsheets,I save time on data entry,,,
instructor/collaborator assignment,16,77,admin,assign multiple instructors to one course,large courses have proper coverage,,,
admin and platform management,6,78,admin,archive past courses and projects,current content stays focused,,,
admin and platform management,6,79,admin,set default privacy for project types,                                   students don't accidentally expose work,,,
analytics and reporting,62,80,admin,generate platform usage reports,I show value to administration,,,
user portfolio creation and management,8,81,employer ,see which students have been endorsed by instructors or alumni,I can prioritize candidates with verified skills.,,,
feedback and review workflow,21,82,instructor,view a timeline of all changes made to a project,I can see how it evolved over the semester and cheating case .,,,
analytics and reporting,62,83,admin," want to create a ""project of the month"" feature that automatically selects based on views, saves, and positive feedback ", that outstanding work gets recognized,,,
project creation and submission,28,84,student ,create a project timeline showing milestones and deadlines,viewers can see how my work progressed over time,,,
feedback and review workflow,21,85,student,receive AI-powered suggestions for improving my project description based on successful similar projects,my portfolio stands out to employers.,,,
project creation and submission,28,86,instructor,create project templates with required sections,students don't forget to include important information.,,,
user portfolio creation and management,8,87,student,"update my profile details, including my photo, my academic information,contact information","my portfolio looks professional,viewers know more about my background,recruiters can reach me",,,
user portfolio creation and management,8,88,student,"add, edit skills to my portfolio",recruiters know my expertise and find required skills,may be divided to technical skills and soft skills,,
analytics and reporting,80,89,admin,"run an end-of-semester report showing top projects, most active instructors, and employer engagement",I can showcase platform success to university leadership.,,,
portfolio search and filtration,9,90,employer ,see if a student has participated in hackathons or competitions,I can identify candidates who thrive under pressure.,,,
portfolio search and filtration,9,91,student,accept or reject requests in case my account is private,i can control people who view my portofolio,,,
instructor/collaborator assignment,16,92,student,request mentorship from alumni who worked on similar projects,I can get guidance from experienced graduates.,,,
user portfolio creation and management,2,93,student,highlight and pin my best projects,they appear first in my portfolio,,,
project creation and submission,28,94,student, link each project to its corresponding course,so that reviewers know which course the project belongs to,may need course codes or semester info,,
project creation and submission,28,95,student,add a project description,viewers understand the project,,,
user portfolio creation and management,8,96,employer ,see a student's collaboration history,I know how well they work in teams.,,,
admin and platform management,6,97,instructor,receive suggestions for industry partners who might be interested in sponsoring student projects,my students get real-world experience,,,
notifications,34,98,"student,admin,instructor,employer",   control notification preferences,I avoid unnecessary alerts and remove spam notfications,,,
project search and filtration,30,99,employer,save searches and get alerts for new matches,I find candidates automatically,,,
analytics and reporting,6,100,student," a ""skills gap"" analysis comparing my portfolio to job descriptions ",I know what technologies to learn next,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
